kit,system,system_label,token_nll,token_ppl,token_acc,rmse,mae,mr_stft_sc,env_rms_corr,tter_db_mae,onset_precision,onset_recall,onset_f1,fad
JingleStacks (2nd Hi-Hat),xcodec,xcodec_allkits,4.431013331942482,109.98363615856175,0.12889666158799049,0.03249808637435427,0.014955936502528897,1.7658189235394235,0.6512202681312018,2.3469704583664743,0.7689164627145495,0.6120849052609485,0.6635862625704546,
Live Fusion,dac,dac_allkits,6.105082904174071,494.051609451857,0.04861795691944731,0.014920297779957917,0.006867425156273304,1.0160524976361758,0.6258771690203361,1.4534945469362905,0.8003078952042739,0.7143092741875472,0.7346344636024474,
Live Fusion,encodec,encodec_allkits,1.9591284570256482,9.250850090833485,0.4785622998633125,0.016218565312632847,0.007498244003679121,0.815986052039083,0.6899397919146996,1.3115483867036897,0.7678078118825306,0.7099385834710218,0.7188383308295412,
Live Fusion,xcodec,xcodec_allkits,4.457741347685013,108.94195358179714,0.12188159789607403,0.0291414028397719,0.012567956843700488,1.6335853852236895,0.6283514272596927,1.807353270785494,0.8257147442396973,0.6059050027115778,0.6797667253677111,
Live Rock,dac,dac_allkits,6.2586403088793325,564.9562685317076,0.039032190479015905,0.0229236031916345,0.011869944018375654,1.1092171296184652,0.6120201458649854,2.398164174850891,0.7437226744670102,0.6846649279188157,0.6917062546527232,
Live Rock,encodec,encodec_allkits,2.26929125153125,13.281959421663277,0.4070761031862347,0.02374061833390302,0.011991465752972998,0.807962533823226,0.7372723974355829,1.5845750734432542,0.7944483428625642,0.7050641960988795,0.7277350741474917,
Live Rock,xcodec,xcodec_allkits,4.433663405733741,106.64126572226516,0.12551581935723333,0.040658315651728165,0.022581122067895334,1.7676048724165245,0.5630423757386641,2.8873417019004353,0.7722557670546438,0.6190971490010263,0.6654101064616553,
Modern Funk,dac,dac_allkits,6.157987693047633,516.2052727029161,0.04606388933591647,0.01625619779408761,0.007743215705692991,0.9981529420389577,0.6413356657271564,1.5365490169726326,0.7736902040597861,0.7095663200214039,0.7198436577283052,
Modern Funk,encodec,encodec_allkits,2.006296251310159,9.430451900097404,0.45486740956795935,0.019343296433841663,0.009252560575121044,0.8384614760792354,0.715915423226875,1.263809357248318,0.7861169437502664,0.6935521720427757,0.7168178437452633,
Modern Funk,xcodec,xcodec_allkits,4.371802505011963,97.0943327726673,0.12848544841411427,0.027335770479734414,0.013341572563038194,1.3577387280723707,0.6414707396962029,1.673376314492249,0.788638991256866,0.6434052969434929,0.6880559204345247,
More Cowbell (Pop-Rock),dac,dac_allkits,6.240880564375475,544.8067465409147,0.03657074269252654,0.0191554784789889,0.009408980353192084,1.0555884904017994,0.7253354751402296,1.853697142884262,0.7486387003534997,0.6202980677361897,0.645486900846403,
More Cowbell (Pop-Rock),encodec,encodec_allkits,2.152873913774029,11.437836714245275,0.43671591669101484,0.021425754708032253,0.010206832114006378,0.8399615622521622,0.7561247157601662,1.6736698013901894,0.7733781614846412,0.6197920865123195,0.6676227119506182,
More Cowbell (Pop-Rock),xcodec,xcodec_allkits,4.484108907124214,107.38255573963872,0.1223198206973747,0.026866200467118725,0.014584402707512526,1.2453840772036373,0.5915588430699402,1.6523698016672328,0.7619411481312643,0.6219315396917077,0.6581696914746769,
Nu RNB,dac,dac_allkits,6.1139614379856075,502.6241361618392,0.04682031155980536,0.0235979793389041,0.012705721577654427,1.01334338557856,0.5787747962825398,2.2803433482510287,0.7769130847674316,0.7136281210160738,0.7258231574640855,
Nu RNB,encodec,encodec_allkits,2.308669657137424,12.60231762546702,0.40343851267483855,0.025132940297106714,0.013572716340226979,0.8384548666285349,0.7218828786051875,1.5466545607928914,0.7970229031220682,0.7393482739122085,0.7475832274450698,
Nu RNB,xcodec,xcodec_allkits,4.345986613965416,94.16018324291257,0.12689063034036585,0.05680308715508265,0.028186159072437572,2.509507662774527,0.5634934103577952,2.31686900973428,0.831418285302103,0.6944271166114803,0.7410844830510933,
Pop-Rock (Studio),dac,dac_allkits,6.171675862007709,524.9474240728356,0.04507950443590725,0.01886350650119616,0.009568312235334575,1.0928232232635997,0.6245981770820014,1.4906459895317534,0.7344651352439467,0.6853209862395738,0.6845209741447491,
Pop-Rock (Studio),encodec,encodec_allkits,2.161148772053058,11.742798426562057,0.43890949617649466,0.01909647454580654,0.009524926465388054,0.8370353964629748,0.7216128643185227,1.5081026885072408,0.7603602480103062,0.7112047874451397,0.7172580379411535,
Pop-Rock (Studio),xcodec,xcodec_allkits,4.389239763490254,102.55909524352523,0.12829365228477047,0.04165309107811662,0.023176260192020008,2.375094430184093,0.5508205698695648,1.8101836860511153,0.7703540330163636,0.6422250148604878,0.6778457905239912,
